TEAM_ID,PLAYER_NAME,PLAYER_ID,TEAM_NBACOM,POS,ROLE,GP,MIN,POSS,PTS,REB,AST,STL,BLK,TOV,FG2_PCT,FG3_PCT,OREB,DREB,FG3A,AT_RIM_FGA,AT_RIM_FREQUENCY,AT_RIM_ACCURACY,MID_FGA,MID_FREQUENCY,MID_ACCURACY,THREE_FREQUENCY,THREE_ACCURACY,rTS,USG_PCT,BOX_CREATION,OFF_LOAD,FTA_RATE,OREB_PCT,DREB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT
1610612751,Noah Clowney,1641730,BKN,PF,Forward,54,1519,3110,686,221,92,40,38,86,0.513,0.333,49,172,340,85,0.16,0.6,108,0.203,0.444,0.637,0.333,0,20.1,2.4,26.5,0.353,3.6,13.9,9.4,1.3,2.3,12.3
1610612753,Noah Penda,1642869,ORL,SF,Wing,40,530,1122,184,142,45,21,14,32,0.467,0.385,56,86,65,53,0.342,0.509,37,0.239,0.405,0.419,0.385,-2.4,16.3,2.2,22.8,0.252,11.5,18.3,11.8,1.9,2.3,15.7
1610612751,Nolan Traore,1642849,BKN,PG,Point,38,853,1732,313,60,140,27,13,72,0.445,0.312,10,50,112,81,0.276,0.457,101,0.344,0.436,0.381,0.312,-6.9,20.1,5,32.3,0.201,1.3,7.2,25.3,1.6,1.4,18.4
1610612748,Norman Powell,1626181,MIA,SG,Combo,49,1470,3258,1103,177,126,59,11,100,0.543,0.39,18,159,356,199,0.256,0.633,221,0.285,0.462,0.459,0.39,5.6,27.5,5.4,37.4,0.358,1.2,11.1,13.1,1.9,0.7,10
1610612752,OG Anunoby,1628384,NYK,PF,Forward,47,1556,3258,757,247,106,80,35,90,0.573,0.36,64,183,267,216,0.38,0.671,86,0.151,0.326,0.469,0.36,3.6,19.8,2.9,26.8,0.272,4.5,13.1,9.6,2.5,2.3,12.4
1610612754,Obi Toppin,1630167,IND,PF,Forward,5,102,221,49,26,11,6,0,6,0.636,0.143,3,23,21,12,0.279,0.667,10,0.233,0.6,0.488,0.143,-5.5,22.7,2.8,30.5,0.302,3.1,25.2,16.2,2.8,0,11
1610612751,Ochai Agbaji,1630534,BKN,SG,Combo,49,760,1586,221,112,40,18,14,22,0.543,0.267,38,74,86,93,0.46,0.602,23,0.114,0.304,0.426,0.267,-4.6,13.4,0.7,17.4,0.153,5.5,11.2,7.2,1.2,1.8,9.3
1610612763,Olivier-Maxence Prosper,1641765,MEM,PF,Forward,35,545,1199,270,108,31,18,8,25,0.639,0.406,31,77,69,76,0.429,0.763,32,0.181,0.344,0.39,0.406,11.3,17.2,2.2,22.4,0.311,6.1,15.2,8.2,1.6,1.4,11.1
1610612737,Onyeka Okongwu,1630168,ATL,C,Big,56,1760,3855,900,440,184,62,57,105,0.561,0.385,104,336,304,185,0.269,0.686,198,0.288,0.444,0.443,0.385,3.8,20.3,4.1,28.8,0.221,6.3,20.7,14.8,1.7,2.9,12.2
1610612753,Orlando Robinson,1631115,ORL,C,Big,4,25,49,7,4,3,1,0,0,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,14.2,8.5,NA,NA,0,8.7,9,16.6,1.9,0,0
1610612762,Oscar Tshiebwe,1631131,UTA,C,Big,6,63,130,16,20,5,1,0,1,0.615,0,9,11,0,8,0.615,0.75,5,0.385,0.4,0,0,3.7,9.4,0,0,0.077,15.3,19.3,10.7,0.7,0,6.9
1610612756,Oso Ighodaro,1642345,PHX,PF,Big,60,1224,2493,342,273,116,59,36,77,0.635,0,90,183,1,128,0.529,0.805,113,0.467,0.442,0.004,0,6.7,12.1,1.3,18.5,0.298,7.8,17,13.1,2.4,2.8,22
1610612749,Ousmane Dieng,1631172,MIL,C,Big,36,466,970,171,74,43,10,12,16,0.463,0.376,11,63,85,16,0.105,0.562,51,0.336,0.431,0.559,0.376,-2,16.4,2.5,23.2,0.105,2.7,14.5,12.5,1.1,2.5,9.1
1610612742,P.J. Washington,1629023,DAL,PF,Forward,42,1300,2817,599,297,79,41,53,81,0.521,0.306,59,238,170,152,0.302,0.625,182,0.361,0.434,0.337,0.306,-2.9,20.9,2.2,26.6,0.28,4.9,18.9,8.7,1.5,3.4,12.5
